Date,Epicentral Area,Magnitude,Latitude,Longitude
1887-12-03,Calabria settentrionale,5.5,39.564,16.221
1889-12-25,Area etnea,5.0,37.646,15.158
1891-06-07,Valle d’Illasi,5.9,45.565,11.165
1893-08-10,Gargano,5.4,41.714,16.075
1894-08-08,Area etnea,5.7,37.656,15.114
1894-11-16,Calabria meridionale,6.1,38.289,15.87
1894-11-27,Bresciano,5.1,45.565,10.122
1895-04-14,Slovenia,6.2,46.132,14.534
1895-05-18,Fiorentino,5.4,43.704,11.264
1897-07-15,Slovenia,5.3,46.059,14.503
1897-12-18,Appennino umbro-marchigiano,5.1,43.497,12.378
1898-03-04,Valle del Parma,5.4,44.656,10.26
1898-08-25,Alta Valnerina,5.0,42.896,12.994
1898-09-12,Alta Valnerina,5.3,42.908,12.975
1899-06-26,Valle del Bisenzio,5.1,43.959,11.117
1899-07-19,Colli Albani,5.1,41.798,12.686
1901-07-31,Monti della Meta,5.2,41.719,13.75
1901-10-30,Salò,5.7,45.583,10.493
1904-02-24,Marsica,5.6,42.097,13.316
1905-04-29,Alta Savoia,5.7,46.016,7.011
1905-09-08,Calabria,6.7,38.682,16.056
1907-10-23,Calabria meridionale,6.0,38.087,15.985
1908-07-10,Carnia,5.4,46.465,13.19
1908-12-28,Calabria meridionale-Messina,7.0,38.165,15.687
1909-08-25,Toscana meridionale,5.6,43.139,11.331
1910-06-07,Irpinia-Basilicata,5.7,40.899,15.422
1911-02-19,Romagna meridionale,5.3,44.118,12.075
1911-09-13,Chianti,5.2,43.437,11.343
1911-10-15,Area etnea,5.6,37.703,15.153
1913-06-28,Calabria settentrionale,5.7,39.532,16.239
1914-05-08,Area etnea,5.9,37.66,15.133
1914-10-26,Valli torinesi,5.4,45.051,7.36
1915-01-13,Marsica,7.0,41.982,13.648
1915-03-15,Alta valle del Chienti,5.0,43.012,12.893
1916-05-17,Alto Adriatico,5.8,44.011,12.623
1916-08-16,Alto Adriatico,5.7,43.962,12.671
