File downloaded from CFTI5Med
E. Guidoboni, G. Ferrari, D. Mariotti, A. Comastri, G. Tarabusi, G. Sgattoni, G. Valensise (2018) - CFTI5Med, Catalogo dei Forti Terremoti in Italia (461 a.C.-1997) e nell’area Mediterranea (760 a.C.-1500). Istituto Nazionale di Geofisica e Vulcanologia (INGV). http://storing.ingv.it/cfti/cfti5/

Date;Time;Io (Epicentral intensity - MCS scale);Imax (Maximum intensity - MCS scale);NMO (Number of Macroseismic Observations);Me (Equivalent magnitude based on macroseismic observations);Latitude;Longitude;Epicentral Area;Notes;Review Level
1791 10 11;13:05;8;8;54;5.5;42.951;12.861;Appennino umbro;;MEDIUM
1794 06 07;00:45;8.5;9;19;6;46.307;12.821;Prealpi carniche;;LOW
1794 06 12;22:30;7;7;16;5.2;41.109;14.924;Irpinia;;LOW
1794 06 30;04:45;7.5;7.5;8;5.3;46.298;12.795;Prealpi carniche;;LOW
1796 02 05;02:05;7;7;5;5.1;43.547;11.877;Aretino;;LOW
1796 03 18;16:30;8;8;1;5.6;40.747;13.909;Casamicciola Terme (NA);S (epicentral parameters based on a single intensity datapoint);LOW
1796 10 22;04:00;7;7;27;5.6;44.615;11.670;Emilia orientale;;LOW
1798 05 26;12:10:00;6.5;7.5;11;4.8;43.349;11.479;Siena;;MEDIUM
1799 07 28;22:05;9;9.5;70;6.2;43.219;13.147;Appennino marchigiano;;MEDIUM
1801 10 08;07:52:53;6;6;6;5.1;44.468;11.420;Bologna;;LOW
1802 05 12;09:30;8;8.5;66;5.7;45.416;9.854;Valle dell’Oglio;;MEDIUM
1804 10 18;20:00;6.5;7;4;4.9;43.454;11.105;Val d’Elsa;;LOW
1805 07 26;21:00;10;10;220;6.6;41.501;14.474;Molise;;MEDIUM
1806 08 26;07:35;8;8;35;5.5;41.719;12.725;Colli Albani;;LOW
1808 04 02;16:43;8;8;105;5.7;44.839;7.248;Valle del Pellice;;HIGH
1808 04 02;20:15;7;7;15;4.9;44.823;7.261;Valle del Pellice;;HIGH
1808 04 16;01:15;7;7;21;5.3;44.846;7.315;Valle del Pellice;;HIGH
1812 09 11;12:00;7.5;7.5;13;5.2;43.660;11.139;Valle del Pesa;;LOW
1812 10 25;07:00;7.5;8;34;5.7;46.029;12.573;Valle del Cellina;;LOW
1813 09 21;07:45;7;7;12;5.3;44.250;11.972;Romagna centrale;;MEDIUM
1815 09 03;23:00;8;8;24;5.5;42.833;13.015;Valnerina;;MEDIUM
1817 03 11;21:10;7;7;17;5.5;46.245;6.642;Alta Savoia;;LOW
1818 02 20;18:15;9.5;9.5;128;6.2;37.603;15.141;Catanese;;HIGH
1818 02 23;18:10:01;7;8;45;5.5;43.809;7.644;Liguria occidentale-Francia;;LOW
1818 03 01;02:45;7.5;7.5;24;5.5;37.205;14.756;Monti Iblei;;HIGH
1818 09 08;09:50;7.5;7.5;24;5.2;37.814;14.082;Madonie;;HIGH
1818 12 09;18:55;7;7.5;26;5.3;44.697;10.295;Parmense;;MEDIUM
1819 01 08;22:30;6.5;7;5;4.9;43.862;7.928;Liguria occidentale;;LOW
1819 02 24;23:20;7.5;8;24;5.3;37.939;14.042;Madonie;;HIGH
1823 03 05;16:37;8;8.5;107;5.7;37.994;14.094;Sicilia settentrionale;;HIGH
1826 02 01;16:00;8;9;18;5.8;40.520;15.727;Basilicata;;MEDIUM
1828 02 02;09:15;8.5;9;11;5.8;40.745;13.899;Casamicciola Terme (NA);;MEDIUM
1828 10 09;02:20;8;8;115;5.8;44.822;9.047;Valle Staffora;;HIGH
